OFFER,RETAILER,BRAND,,,
"Arbos Cheese Dip, 12 ounce, buy at Central Market",CENTRAL MARKET,ARBOS,,,
"Kradle, select products, online at Chewy.com",CHEWY,KRADLE,,,
Spend $50 at Chewy.com,CHEWY,CHEWY,,,
When you join Costco as a Gold Star Member* (New Members Only),COSTCO,COSTCO,,,
When you join Costco as an Executive Member* (New Members Only),COSTCO,COSTCO,,,
Spend $10 at CVS,CVS,CVS,,,
Spend $30 at CVS,CVS,CVS,,,
Spend $30 at Dickey's Barbecue Pit,DICKEYS BARBECUE PIT,DICKEYS BARBECUE PIT,,,
Spend $20 at Dickey's Barbecue Pit,DICKEYS BARBECUE PIT,DICKEYS BARBECUE PIT,,,
Spend $40 at Dickey's Barbecue Pit,DICKEYS BARBECUE PIT,DICKEYS BARBECUE PIT,,,
"Butterball, select varieties, spend $10 at Dillons Food Store",DILLONS FOOD STORE,BUTTERBALL,,,
"Starry™ Lemon Lime Soda multipacks, at Kroger",DILLONS GROCERY,STARRY,,,
"GATORADE® Fast Twitch®, 12-ounce single serve, at Kroger",DILLONS GROCERY,GATORADE,,,
"GATORADE® Fast Twitch®, 12-ounce single serve",DILLONS GROCERY,GATORADE,,,
"Children's Astepro® Allergy, 22 count at Dollar General",DOLLAR GENERAL STORE,ASTEPRO,,,
"Adult Astepro® Allergy, 22 count at Dollar General",DOLLAR GENERAL STORE,ASTEPRO,,,
Spend $40 at Farmer Boys,FARMER BOYS,FARMER BOYS,,,
Spend $20 at Farmer Boys,FARMER BOYS,FARMER BOYS,,,
"Butterball, select varieties, spend $10 at Food 4 Less",FOOD4LESS,BUTTERBALL,,,
"GATORADE® Fast Twitch®, 12-ounce single serve, buy 2 at Kroger",FOOD4LESS,GATORADE,,,
"Butterball, select varieties, spend $10 at Fred Meyer",FRED MEYER,BUTTERBALL,,,
"GATORADE® Fast Twitch®, 12-ounce single serve, buy 2 at Kroger",FRED MEYER,GATORADE,,,
"GATORLYTE® OR GATORADE™ Fit Single Serve Bottle, select varieties",FRED MEYER,GATORADE,,,
Spend $35 at Fresh Thyme Market,FRESH THYME,FRESH THYME MARKET,,,
Spend $25 at Fresh Thyme Market,FRESH THYME MARKET,FRESH THYME MARKET,,,
Spend $50 at Fresh Thyme Market,FRESH THYME MARKET,FRESH THYME MARKET,,,
"Butterball, select varieties, spend $10 at Fry's Food Store",FRYS FOOD STORE,BUTTERBALL,,,
"Wine from TheBarrelRoom.com, spend $30",GALLO.COM,ALAMOS,,,
"Reese's Chocolate Cones, 8 count at GIANT OR MARTIN’S",GIANT FOOD,KLONDIKE,,,
"Beyond Steak™ Plant-Based seared tips, 10 ounce, buy 2 at H-E-B",H-E-B,BEYOND MEAT,,,
"Beyond Steak™ Plant-Based seared tips, 10 ounce at H-E-B",H-E-B,BEYOND MEAT,,,
"Beyond Meat® Plant-Based products, spend $25",H-E-B,BEYOND MEAT,,,
"Beyond Meat® Plant-Based products, spend $15",H-E-B,BEYOND MEAT,,,
"Beyond Meat® Plant-Based products, spend $20",H-E-B,BEYOND MEAT,,,
Spend $20 at KFC,KFC,KFC,,,
Spend $25 at KFC,KFC,KFC,,,
Spend $15 at KFC,KFC,KFC,,,
Spend $40 at KFC,KFC,KFC,,,
Spend $10 at KFC,KFC,KFC,,,
"Butterball, select varieties, spend $10 at King Soopers",KING SOOPERS,BUTTERBALL,,,
"Butterball, select varieties, spend $10 at Kroger",KROGER,BUTTERBALL,,,
"Back to the Roots Garden Soil, 1 cubic foot, at Lowe's Home Improvement",LOWES HOME IMPROVEMENT,BACK TO THE ROOTS,,,
"Back to the Roots Soils, select varieties and sizes, at Lowes",LOWES HOME IMPROVEMENT,BACK TO THE ROOTS,,,
"Back to the Roots Soils, select varieties, at Walmart or Lowes",LOWES HOME IMPROVEMENT,BACK TO THE ROOTS,,,
"Back to the Roots Potting Mix, 1 cubic foot, at Lowe's Home Improvement",LOWES HOME IMPROVEMENT,BACK TO THE ROOTS,,,
"Dixon® Safety Carpenter Pencil, 10 count, at Lowe’s®",LOWES HOME IMPROVEMENT,DIXON,,,
"Butterball, select varieties, spend $10 at Mariano's",MARIANOS,BUTTERBALL,,,
"Reese's Chocolate Cones, 8 count at GIANT OR MARTIN’S",MARTINS FOODS,KLONDIKE,,,
"Reese's Peanut Butter Bar, 6 count, at GIANT OR MARTIN’S",MARTINS FOODS,GOOD HUMOR,,,
"Breyers Reese's Ice Cream, select varieties, at GIANT OR MARTIN’S",MARTINS FOODS,BREYERS,,,
"Sign up for McAlister's Deli Rewards, tap for details",MCALISTERS DELI,MCALISTERS DELI,,,
Spend $15 at Nekter,NEKTER JUICE BAR,NEKTER,,,
Spend $10 at Nekter,NEKTER JUICE BAR,NEKTER,,,
Spend $155 at Pavilions,PAVILIONS,PAVILIONS,,,
Shop 2 times at Pavilions,PAVILIONS,PAVILIONS,,,
Spend $100 at Pavilions,PAVILIONS,PAVILIONS,,,
Any Pavilions receipt,PAVILIONS,PAVILIONS,,,
Spend $270 at Pavilions,PAVILIONS,PAVILIONS,,,
"Kradle, select varieties, at Pet Supplies Plus",PET SUPPLIES PLUS,KRADLE,,,
"Butterball, select varieties, spend $10 at Pick 'n Save OR Metro Market",PICK N SAVE,BUTTERBALL,,,
"Butterball, select varieties, spend $10 at QFC",QFC,BUTTERBALL,,,
"Butterball, select varieties, spend $10 at Ralphs",RALPHS,BUTTERBALL,,,
Spend $210 at Randalls,RANDALLS,RANDALLS,,,
Any Randalls receipt,RANDALLS,RANDALLS,,,
Spend $75 at Randalls,RANDALLS,RANDALLS,,,
Shop 2 times at Randalls,RANDALLS,RANDALLS,,,
Spend $110 at Randalls,RANDALLS FOOD MARKETS,RANDALLS,,,
Spend $210 at Randalls,RANDALLS FOOD MARKETS,RANDALLS,,,
Any Randalls receipt,RANDALLS FOOD MARKETS,RANDALLS,,,
Shop 2 times at Randalls,RANDALLS FOOD MARKETS,RANDALLS,,,
"Butterball, select varieties, Spend $10 at Ruler Foods",RULER FOODS,BUTTERBALL,,,
Shop 2 times at Safeway,SAFEWAY,SAFEWAY,,,
Spend $210 at Safeway,SAFEWAY,SAFEWAY,,,
Any Safeway receipt,SAFEWAY,SAFEWAY,,,
Spend $115 at Safeway,SAFEWAY,SAFEWAY,,,
Spend $90 at Safeway,SAFEWAY,SAFEWAY,,,
"Any General Mills™ products, buy 2
Good Rewards Members Only",SAFEWAY,ANNIES HOMEGROWN GROCERY,,,
Spend $50 on a Full-Priced new Club Membership,SAMS CLUB,SAMS CLUB,,,
"Tyson Products, select varieties, spend $20 at Sam's Club",SAMS CLUB,BALL PARK FRANK,,,
"George's Farmers Market Chicken Wings, at Sam's Club",SAMS CLUB,GEORGES FARMERS MARKET,,,
"Spend $110 on a Full-Priced new Plus Membership and receive an ADDITIONAL 10,000 points",SAMS CLUB,SAMS CLUB,,,AMAZON
Spend $140 at Shaws,SHAWS,SHAWS,,,CASEYS GENERAL STORE
Spend $185 at Shaws,SHAWS,SHAWS,,,H-E-B
Shop 2 times at Shaw's,SHAWS,SHAWS,,,PAVILIONS
Any Shaw's receipt,SHAWS,SHAWS,,,RANDALLS
Spend $300 at Shaws,SHAWS,SHAWS,,,SAFEWAY
"Gorton's, at select retailers",SHOP RITE,GORTONS,,,TARGET
"SiO® Beauty Patches, online at Siobeauty.com",SIOBEAUTY.COM,SIO BEAUTY,,,
"Butterball, select varieties, spend $10 at Smith's",SMITHS,BUTTERBALL,,,
"Bubbies Pickles, Sauerkraut, and Condiments at Whole Foods or Sprouts",SPROUTS FARMERS MARKET,BUBBIES,,,
"Bubbies Pickles, Sauerkraut, OR Condiments at Whole Foods or Sprouts",SPROUTS FARMERS MARKET,BUBBIES,,,
Spend $90 at Star Market,STAR MARKET,STAR MARKET,,,
Shop 2 times at Star Market,STAR MARKET,STAR MARKET,,,
Spend $120 at Star Market,STAR MARKET,STAR MARKET,,,
Spend $220 at Star Market,STAR MARKET,STAR MARKET,,,
Any Star Market receipt,STAR MARKET,STAR MARKET,,,
"Gorton's, at select retailers",STOP & SHOP,GORTONS,,,
Gorton's at select retailers,STOP & SHOP,GORTONS,,,
Spend $10 at Subway,SUBWAY,SUBWAY,,,
Spend $25 at Subway,SUBWAY,SUBWAY,,,
Spend $15 at Subway,SUBWAY,SUBWAY,,,
Spend $35 at Subway,SUBWAY,SUBWAY,,,
"Beyond Steak™ Plant-Based seared tips, 10 ounce at Target",TARGET,BEYOND MEAT,,,
"L'Oréal Paris Hair color, select varieties, spend $19 at Target",TARGET,LOREAL PARIS HAIR COLOR,,,
"L'Oréal Paris Makeup, spend $35 at Target",TARGET,LOREAL PARIS COSMETICS,,,
"Back to the Roots Grow Seed Starting Pots OR Germination Trays, at Walmart or Target",TARGET,BACK TO THE ROOTS,,,
"Dove Hand Wash, select varieties, buy 2 at Target",TARGET,DOVE,,,
"Durex® Massage & Play 2 in 1 Pleasure Gel, select varieties, at Walmart or Target",TARGET,DUREX,,,
"Welch's® Juicefuls® Juicy Fruit Snacks, 14 count, at Target",TARGET,WELCHS FRUIT SNACKS,,,
L'Oréal Paris Excellence Hair Color at Target,TARGET,LOREAL PARIS HAIR COLOR,,,
"Back to the Roots Raised Bed Gardening Kit with Soil, Seeds and Plant Food, at Target",TARGET,BACK TO THE ROOTS,,,
"Colgate® Toothpaste AND Colgate® Toothbrush, select varieties at Walmart or Target",TARGET,COLGATE TOOTHBRUSHES,,,
"L'Oréal Paris Hair color, select varieties, spend $25 at Target",TARGET,LOREAL PARIS HAIR COLOR,,,
"Beyond Steak™ Plant-Based seared tips, 10 ounce, buy 2 at Target",TARGET,BEYOND MEAT,,,
"Arber, at Target",TARGET,ARBER,,,
"L'Oréal Paris Hair color, select varieties, spend $9 at Target",TARGET,LOREAL PARIS HAIR COLOR,,,
"L'Oréal Paris Makeup, spend $30 at Target",TARGET,LOREAL PARIS COSMETICS,,,
L'Oreal Paris True Match Foundation at Target,TARGET,LOREAL PARIS COSMETICS,,,
"Back to the Roots Organic Kits and Planters, at Target",TARGET,BACK TO THE ROOTS,,,
"Dove Hand Wash, select varieties at Target",TARGET,DOVE,,,
L'Oréal Paris True Match Foundation at Target,TARGET,LOREAL PARIS COSMETICS,,,
"Back to the Roots Organic 3-In-1 Seed Starting Mix 12 quart, at Walmart or Target",TARGET,BACK TO THE ROOTS,,,
Barilla® Pesto Sauce,TARGET,BARILLA,,,
"DOVE® Chocolate, select sizes, buy 1",TARGET,DOVE CHOCOLATE,,,
Gillette Venus ® for Pubic Hair & Skin spend $20,TARGET,GILLETTE VENUS,,,
"DOVE® chocolate, select varieties",TARGET,DOVE CHOCOLATE,,,
Spend $60 at TGI Friday's,TGI FRIDAYS,TGI FRIDAYS,,,
Spend $35 at TGI Friday's,TGI FRIDAYS,TGI FRIDAYS,,,
Spend $45 at TGI Friday's,TGI FRIDAYS,TGI FRIDAYS,,,
Spend $25 at TGI Friday's,TGI FRIDAYS,TGI FRIDAYS,,,
"Reese's Peanut Butter Bar, 6 count, at GIANT OR MARTIN’S",THE GIANT CO,GOOD HUMOR,,,
Good Humor Viennetta Frozen Vanilla Cake,THE GIANT CO,GOOD HUMOR,,,
"Back to the Roots Dry Plant Food, 5 pounds, at The Home Depot",THE HOME DEPOT,BACK TO THE ROOTS,,,
Spend $90 at Tom Thumb,TOM THUMB,TOM THUMB,,,
Shop 2 times at Tom Thumb,TOM THUMB,TOM THUMB,,,
Spend $220 at Tom Thumb,TOM THUMB,TOM THUMB,,,
Any Tom Thumb receipt,TOM THUMB,TOM THUMB,,,
Spend $115 at Tom Thumb,TOM THUMB,TOM THUMB,,,
"Dr Pepper®, Regular OR Zero Sugar Strawberries and Cream 12 pack, at select retailers",UNITED SUPERMARKETS,DR PEPPER,,,
Any Vons receipt,VONS,VONS,,,
Spend $150 at Vons,VONS,VONS,,,
Spend $100 at Vons,VONS,VONS,,,
Spend $275 at Vons,VONS,VONS,,,
Shop 2 times at Vons,VONS,VONS,,,
"Arnold, Brownberry, Oroweat® Small Slice bread, at Walmart",WALMART,ARNOLD BROWNBERRY OROWEAT,,,
"Flonase Allergy Relief, at Walmart",WALMART,FLONASE,,,
"Gorton's Air Fried Butterfly Shrimp, at Walmart",WALMART,GORTONS,,,
"Cooked Perfect® Meatballs, at Walmart",WALMART,COOKED PERFECT,,,
"L'Oréal Paris Men Expert hair color, spend $19 at Walmart",WALMART,LOREAL PARIS HAIR COLOR,,,
"Sara Lee® bread, select varieties, buy 2 at Walmart®",WALMART,SARA LEE,,,
"Bai® Antioxidant, 6 pack, buy 2 at Walmart",WALMART,BAI,,,
QUEEN V® The VIP & The Wingwoman Soft Touch Silicone Vibrator at Walmart,WALMART,QUEEN V,,,
"Back to the Roots Soils, select varieties and sizes, at Walmart",WALMART,BACK TO THE ROOTS,,,
"Cooked Perfect® Meatballs, Homestyle OR Turkey, at Walmart",WALMART,COOKED PERFECT,,,
Little Bites® Spend $10 at Walmart®,WALMART,ENTENMANNS,,,
"Purex® laundry detergent, select varieties, at Walmart",WALMART,PUREX,,,
Country Crock® Plant Based Butter at Walmart,WALMART,COUNTRY CROCK PLANT BUTTER,,,
AleveX™ at Walmart,WALMART,ALEVE,,,
"L’Oréal Paris Men Expert hair color, spend $9 at Walmart",WALMART,LOREAL PARIS HAIR COLOR,,,
"Artesano® buns, buy 2 at Walmart®",WALMART,SARA LEE ARTESANO,,,
"Burt's Bees Sensitive Lotions and Creams, select varieties, at Walmart",WALMART,BURTS BEES,,,
"RESPAWN® by 5® GUM, at Walmart",WALMART,5 GUM,,,
Michael Angelo's® Sauce at Walmart,WALMART,MICHAEL ANGELO'S,,,
"Sara Lee® bread select varieties, buy 2",WALMART,SARA LEE,,,
"Aleve® products, select varieties, 80 count+ at Walmart",WALMART,ALEVE,,,
"Kradle, select varieties, spend $20 at Walmart",WALMART,KRADLE,,,
"Welch's® Fruit 'n Yogurt® Snacks, 18 count, at Walmart",WALMART,WELCHS FRUIT SNACKS,,,
"CORE® Hydration, select varieties, at Walmart",WALMART,CORE HYDRATION,,,
"Klondike Cones, spend $10 at Walmart ",WALMART,KLONDIKE,,,
"Burt's Bee's® Facial Wipes, select varieties, 30 count at Walmart",WALMART,BURTS BEES,,,
"Aleve® products AND AleveX™, select varieties, at Walmart",WALMART,ALEVE,,,
"Tyson Products, select varieties, spend $15 at Walmart",WALMART,AIDELLS,,,
Klondike Cones at Walmart,WALMART,KLONDIKE,,,
"Burt's Bees® products, select varieties, at Walmart",WALMART,BURTS BEES,,,
Back to the Roots Microgreens Grow Kit OR Seed Refill at Walmart,WALMART,BACK TO THE ROOTS,,,
"Bai® Antioxidant, 6 pack, at Walmart",WALMART,BAI,,,
"OxiClean™ Laundry Stain Removers, select varieties at Walmart",WALMART,OXICLEAN,,,
Country Crock® Plant Based Cream at Walmart,WALMART,COUNTRY CROCK PLANT BUTTER,,,
"Snuggle® Liquid Fabric Softener, at Walmart",WALMART,SNUGGLE,,,
"CORE® Hydration, select varieties, buy 2 at Walmart",WALMART,CORE HYDRATION,,,
"Burt's Bees® Sensitive Lotions and Creams, select varieties, at Walmart",WALMART,BURTS BEES,,,
"Arber, at Walmart",WALMART,ARBER,,,
Back to the Roots Grow Kits at Walmart or The Home Depot,WALMART,BACK TO THE ROOTS,,,
Back to the Roots Grow Hydroponic Grow Kit OR Refill Bundle at Walmart,WALMART,BACK TO THE ROOTS,,,
Gorton's at select retailers,WALMART,GORTONS,,,
"Back to the Roots Seeds, at Walmart",WALMART,BACK TO THE ROOTS,,,
"Persil® ProClean®, select varieties, at Walmart",WALMART,PERSIL,,,
"Back to the Roots Soils, select varieties, at Walmart",WALMART,BACK TO THE ROOTS,,,
Hellmann's® OR Best Foods® Garlic Aioli OR Spicy Mayonnaise,WALMART,HELLMANNS BEST FOODS,,,
"EVOLVE® Plant-Based Protein Shake, 4 count, select varieties, at Whole Foods",WHOLE FOODS MARKET,EVOLVE,,,
Spend $20 at Zaxby's,ZAXBYS,ZAXBYS,,,
Order online at Zaxbys.com,ZAXBYS,ZAXBYS,,,
Spend $45 at Zaxby's,ZAXBYS,ZAXBYS,,,
Simply Spiked™ Lemonade 12 pack+,WALMART,SIMPLY SPIKED,,,
"Tru-Ray® Premium Construction Paper, spend $10",AMAZON,TRURAY,,,
"CESAR® Wet Dog Food, spend $20",CHEWY,CESAR,,,
"TWIX®, select sizes",AMAZON,TWIX,,,
"M&M'S® chocolate candies, select varieties",AMAZON,M&MS,,,
"Hidden Valley® Ranch Salad Dressing OR Secret Sauce, select varieties",CASEYS GENERAL STORE,HIDDEN VALLEY RANCH,,,
"Creativity Street®, spend $10",H-E-B,CREATIVITY STREET,,,
"Crunchmaster® Crackers, spend $4",PAVILIONS,CRUNCHMASTER,,,
"Chosen Foods® Mayo, select varieties",RANDALLS,CHOSEN FOODS,,,
"General Mills™ products, select brands, spend $35",SAFEWAY,ANNIES HOMEGROWN GROCERY,,,
"Sara Lee® or Alfaros® Artesano bread, buy 5",TARGET,ALFAROS,,,
"Frutero Ice Cream, 1 pint",WALMART,FRUTERO,,,
Red Gold Tomato Juice,TOM THUMB,RED GOLD,,,
"Bio-Oil® Skincare Oil OR Gel, select varieties",AMAZON,BIO OIL,,,
"Welch's®Fruit Snacks, select varieties, buy 2",CASEYS GENERAL STORE,WELCHS FRUIT SNACKS,,,
Talenti Mini Bars,H-E-B,TALENTI,,,
"Simply Spiked™ Signature Peach 12-pack or larger, buy 2",PAVILIONS,SIMPLY SPIKED,,,
"Molson Coors®, select varieties, 12 pack+",RANDALLS,COORS LIGHT,,,
"Marinela® sweet baked goods, buy 2",SAFEWAY,MARINELA,,,
"Any General Mills™ products, spend $60",TARGET,ANNIES HOMEGROWN,,,
"Welch's® Fruit Snacks, select varieties, 6 count+, buy 3",WALMART,WELCHS FRUIT SNACKS,,,
"Coors Light®, Miller Lite® OR VIZZY™ 12 pack+",TOM THUMB,VIZZY,,,
"General Mills™ products, select brands, spend $7 at Convenience Stores",AMAZON,ANNIES HOMEGROWN GROCERY,,,
Gillette Venus ® for Pubic Hair & Skin,CASEYS GENERAL STORE,GILLETTE VENUS,,,
"Barilla® Pasta, select varieties, buy 2",H-E-B,BARILLA,,,
Envy Apples pre-packed bags,PAVILIONS,ENVY,,,
"Ben & Jerry's Frozen Creme Brulee Non Dairy Dessert, 16 ounce",RANDALLS,BEN AND JERRYS,,,
"Any General Mills™ products, spend $30",SAFEWAY,ANNIES HOMEGROWN,,,
"Ben & Jerry's® Doggie Desserts, 4 count",TARGET,BEN AND JERRYS,,,
Sol® 6 pack+,WALMART,SOL CERVEZA,,,
"Michael Angelo's® OR Rao's® Frozen Entrees, spend $10",TOM THUMB,RAO'S,,,
"Sargento Sliced Cheese, spend $25",AMAZON,SARGENTO,,,
"Sargento Sliced Cheese, spend $12",CASEYS GENERAL STORE,SARGENTO,,,
Simply Spiked™ 12 pack+,H-E-B,SIMPLY SPIKED,,,
"Gillette Venus ® for Pubic Hair & Skin, spend $20",PAVILIONS,GILLETTE VENUS,,,
"Envy Apples, pre-packed bags",RANDALLS,ENVY,,,
"Ben & Jerry's Frozen Sugar Cookie Dough Chunks, 8 ounce",SAFEWAY,BEN AND JERRYS,,,
"Magnum Non-Dairy Hazelnut Crunch Ice Cream Bars, 3 count",TARGET,MAGNUM ICE CREAM,,,
"Thomas'® Bagel Thins®, buy 2",WALMART,THOMAS,,,
"STARBURST®, select sizes, buy 1",TOM THUMB,STARBURST,,,
Fresh Step® Outstretch® Cat Litter,AMAZON,FRESH STEP,,,
"Sara Lee® or Alfaros® Artesano bread, spend $8",CASEYS GENERAL STORE,ALFAROS,,,
"Coors Light®, Miller Lite® OR VIZZY™ 12 packs+, buy 4",H-E-B,VIZZY,,,
LIFE SAVERS®,PAVILIONS,LIFESAVERS,,,
Wesson® Oil Products,RANDALLS,WESSON,,,
CESAR® Wet Dog Food Singles,CHEWY,CESAR,,,
"Hidden Valley® Ranch Seasoning Mix Packet, 1 count",TARGET,HIDDEN VALLEY RANCH,,,
"Sargento® products, select varieties",WALMART,SARGENTO,,,
"Ben & Jerry's®, select varieties",TOM THUMB,BEN AND JERRYS,,,
Simply Spiked™ Signature Peach 12 pack+,AMAZON,SIMPLY SPIKED,,,
"Beech-Nut snacks, select varieties",CASEYS GENERAL STORE,BEECHNUT,,,
"Sargento® products, select varieties, buy 3",H-E-B,SARGENTO,,,
Hellmann's® OR Best Foods® AND Sargento® Cheese Slices,PAVILIONS,HELLMANNS BEST FOODS,,,
Brita® Pitcher AND Filter,RANDALLS,BRITA,,,
"SNICKERS®, select sizes, buy 1",SAFEWAY,SNICKERS,,,
"Kodiak® products, select varieties, spend $10",TARGET,KODIAK CAKES FLAPJACK & WAFFLE MIX,,,
Bays® English Muffins,WALMART,BAYS,,,
"Super Coffee, 12 ounce single serve, buy 3",AMAZON,SUPER COFFEE,,,
GOYA® Coconut Water,CASEYS GENERAL STORE,GOYA,,,
"Hidden Valley® Ranch Seasoning, select varieties",H-E-B,HIDDEN VALLEY RANCH,,,
"General Mills™ products, select varieties, spend $12",PAVILIONS,ANNIES HOMEGROWN GROCERY,,,
"Welch's® Fruit Snacks, select varieties, 6 count+, buy 2",RANDALLS,WELCHS FRUIT SNACKS,,,
"Arnold, Brownberry, Oroweat® Keto bread, buy 2",SAFEWAY,ARNOLD BROWNBERRY OROWEAT,,,
"Welch's®Fruit Snacks, spend $8",TARGET,WELCHS FRUIT SNACKS,,,
"SNICKERS® chocolate candy bar, select varieties",WALMART,SNICKERS,,,
Rao's® Frozen Pizza,AMAZON,RAO'S,,,
"Bimbo® sweet baked goods, buy 2",CASEYS GENERAL STORE,BIMBO,,,
NatuChips® Plantain Chips,H-E-B,NATUCHIPS,,,
"Beech-Nut pouches, buy 8",PAVILIONS,BEECHNUT,,,
"Ben & Jerry's®, select varieties, spend $12",RANDALLS,BEN AND JERRYS,,,
"Promised Land Dairy Milk, 52-ounce",SAFEWAY,PROMISED LAND DAIRY,,,
Hidden Valley® Ranch Seasoning Shaker,TARGET,HIDDEN VALLEY RANCH,,,
"TWIX®, select varieties",WALMART,TWIX,,,
"EXTRA®, select varieties",PAVILIONS,EXTRA,,,
"Ben & Jerry's® Doggie Desserts, 4 ounce, buy 2",TARGET,BEN AND JERRYS,,,
